cross,parent_A,parent_B,model_id,biomass_production_rate,degree_of_heterosis,parent_A_biomass,parent_B_biomass,hybrid_type,n_bottlenecks
10x11,10,11,5374681155469080000,0.0015281454,0.9543247792,0.0014927824,0.0014885473,Above parent,1
10x11,10,11,11921693953805600000,0.0015279997,0.9542338054,0.0014928018,0.0016297979,Mid-parent,12
10x11,10,11,5313850717035630000,0.0015668035,0.9784667373,0.0016300068,0.0014928018,Mid-parent,22
10x11,10,11,5770037214051950000,0.0015288122,0.9547411755,0.0012229293,0.0015192511,Above parent,12
10x11,10,11,4677626733285500000,0.0015620376,0.975490427,0.001615236,0.0014885513,Mid-parent,23
10x11,10,11,3187643707207050000,0.0015285603,0.9545838775,0.0014927622,0.0012228904,Above parent,0
10x11,10,11,1502670603250150000,0.0015288849,0.9547865753,0.0012229225,0.0012229073,Above parent,0
10x11,10,11,8766861902290040000,0.0015284195,0.9544959609,0.0012229073,0.0016296121,Mid-parent,11
10x11,10,11,766194598077108000,0.0015281125,0.9543042557,0.001222948,0.0012229293,Above parent,0
10x11,10,11,1841315244687380000,0.0015625908,0.9758358919,0.0014927646,0.0014886254,Above parent,0
10x11,10,11,16630648780173300000,0.001562447,0.9757460996,0.0014885845,0.0014885602,Above parent,0
10x11,10,11,2472216558363230000,0.0015622932,0.9756500732,0.0014927741,0.0016147849,Mid-parent,24
10x11,10,11,7433692398583000000,0.0015282533,0.954392176,0.0014885473,0.0012229636,Above parent,0
10x11,10,11,16604420485888100000,0.0015663234,0.9781668657,0.0014886129,0.0016300026,Mid-parent,23
10x11,10,11,13832160141759800000,0.0015623792,0.9757037584,0.0014885373,0.0016298646,Mid-parent,22
10x11,10,11,10099098041191800000,0.001528698,0.9546698723,0.0015192551,0.0012229031,Above parent,13
10x11,10,11,6590798971684100000,0.0015288167,0.954744006,0.0016257296,0.001492775,Mid-parent,10
10x11,10,11,5566165360967390000,0.0015616721,0.9752621521,0.001492734,0.001629847,Mid-parent,22
10x11,10,11,17160364841702500000,0.0015279184,0.9541830127,0.0014886129,0.0012229073,Above parent,0
10x11,10,11,5471769424170700000,0.0015620294,0.975485269,0.0014927535,0.0014885172,Above parent,1
10x11,10,11,4284804879558300000,0.0015280927,0.9542918604,0.0012229133,0.0016301367,Mid-parent,11
10x11,10,11,12388804247380600000,0.0015287575,0.9547070369,0.0012229295,0.001629847,Mid-parent,11
10x11,10,11,5900709291881060000,0.0015622884,0.9756470249,0.0014927909,0.0014927622,Above parent,0
10x11,10,11,1461611078666320000,0.0015624766,0.9757645454,0.001630174,0.0014885781,Mid-parent,23
10x11,10,11,15268369318275800000,0.0015281367,0.954319382,0.0012229073,0.0016147849,Mid-parent,10
10x11,10,11,6690733662656330000,0.0015281788,0.9543456648,0.0014885845,0.0012229418,Above parent,0
10x11,10,11,1795746846411870000,0.0015664523,0.9782473666,0.0014927787,0.0014927877,Above parent,0
10x11,10,11,7969120619153520000,0.0015281061,0.9543002626,0.0012228904,0.0016147849,Mid-parent,10
10x11,10,11,1859449555309780000,0.0015287985,0.954732616,0.0015143097,0.0014928181,Above parent,30
10x11,10,11,12285796278896300000,0.0015622952,0.9756513163,0.001488548,0.0014885579,Above parent,1
10x11,10,11,3684837272586180000,0.0015286842,0.954661258,0.0014928348,0.0012228904,Above parent,0
10x11,10,11,13183181002903300000,0.0015287325,0.9546914467,0.0016301367,0.001492774,Mid-parent,11
10x11,10,11,8284098850862560000,0.0015282843,0.9544115152,0.0014927658,0.0016294763,Mid-parent,11
10x11,10,11,5135210489645350000,0.0015618521,0.9753745531,0.0014885602,0.001222948,Above parent,1
10x11,10,11,4939626739600880000,0.0015289895,0.9548519148,0.0012229225,0.0012229709,Above parent,0
10x11,10,11,2784489419513470000,0.0015289114,0.9548031402,0.0012229225,0.0014927881,Above parent,0
10x11,10,11,2599879211391220000,0.0015280683,0.9542766208,0.0014927507,0.0014927535,Above parent,1
10x11,10,11,1072854254544900000,0.001561971,0.9754488483,0.0014927349,0.0016294454,Mid-parent,22
10x11,10,11,17095769656881700000,0.0015615769,0.9752026944,0.0014885645,0.0014927504,Above parent,0
10x11,10,11,14063917971764900000,0.0015280714,0.9542785604,0.0014927622,0.0012229828,Above parent,0
10x11,10,11,872441456755972000,0.0015284931,0.9545419098,0.0014927881,0.0014886164,Above parent,0
10x11,10,11,7909806948555540000,0.0015620745,0.9755134387,0.0014886129,0.0016153746,Mid-parent,23
10x11,10,11,13625463625744900000,0.0015282269,0.9543757095,0.0014927881,0.0016301879,Mid-parent,11
10x11,10,11,11014791940390100000,0.0015279938,0.9542301417,0.0012229293,0.0016297979,Mid-parent,11
10x11,10,11,10350312206988500000,0.0015623529,0.9756873204,0.0016253732,0.0014928018,Mid-parent,23
10x11,10,11,17530939147874000000,0.0015284549,0.9545180429,0.0016296732,0.0014927741,Mid-parent,12
10x11,10,11,12901004390509300000,0.0015286017,0.9546097532,0.0012229156,0.0014927819,Above parent,0
10x11,10,11,11080578641222900000,0.0015620513,0.9754989869,0.0014927967,0.0016295693,Mid-parent,22
10x11,10,11,11503183449497700000,0.0015620951,0.9755263374,0.0014885481,0.0016300068,Mid-parent,22
10x11,10,11,16402278893089500000,0.0015621334,0.9755502777,0.0016296128,0.0014885822,Mid-parent,22
10x11,10,11,7691641254802380000,0.0015670238,0.9786043097,0.0014927507,0.0015190379,Above parent,32
10x11,10,11,10676760046098800000,0.0015287287,0.9546890643,0.0012229479,0.0014927593,Above parent,0
10x11,10,11,9848710377477900000,0.0015623945,0.975713282,0.0014885522,0.001630212,Mid-parent,22
10x11,10,11,11819207377332700000,0.0015618147,0.9753512329,0.001492774,0.0016253732,Mid-parent,22
10x11,10,11,8404207990551650000,0.0015288302,0.9547524611,0.0014927967,0.0016149834,Mid-parent,10
10x11,10,11,4492946620240020000,0.0015284616,0.9545222535,0.0014927646,0.001492795,Above parent,0
10x11,10,11,7542374288709360000,0.0015285642,0.9545863359,0.0012229479,0.0012229031,Above parent,0
10x11,10,11,15876310537877600000,0.0015287872,0.9547255637,0.0014885473,0.0012229498,Above parent,0
10x11,10,11,9978172669597380000,0.0015285861,0.9545999923,0.0012229594,0.0015190379,Above parent,13
10x11,10,11,17002650744033700000,0.0015626631,0.9758810196,0.0012229225,0.0014886006,Above parent,1
10x11,10,11,6885094341268810000,0.0015624086,0.9757221043,0.0014927876,0.0014885921,Above parent,0
10x11,10,11,8445400191567670000,0.0015615479,0.9751846202,0.0016300495,0.0014928148,Mid-parent,22
10x11,10,11,6478710156251950000,0.0015280963,0.9542941161,0.0012229306,0.0014886164,Above parent,0
10x11,10,11,8750708838579390000,0.0015626707,0.9758857625,0.0014885791,0.0014927967,Above parent,0
10x11,10,11,7468759116896570000,0.0015623437,0.9756815537,0.0014927546,0.001630007,Mid-parent,22
10x11,10,11,4171174160603480000,0.0015621531,0.9755625311,0.0014885805,0.0012229031,Above parent,1
10x11,10,11,13607114662796000000,0.0015621721,0.9755744324,0.0014927593,0.0016297979,Mid-parent,22
10x11,10,11,11780873551121300000,0.0015671004,0.9786521223,0.0014885172,0.0015145549,Above parent,33
10x11,10,11,17808919477722800000,0.0015616124,0.9752248633,0.0014927741,0.0014885845,Above parent,0
10x11,10,11,3234300603315860000,0.0015623554,0.9756888784,0.0014885645,0.0015190379,Above parent,31
10x11,10,11,8861584281182520000,0.0015284719,0.9545286869,0.0016298646,0.0012229426,Mid-parent,11
10x11,10,11,14406852823442800000,0.0015285849,0.954599281,0.0014927504,0.0012229306,Above parent,0
10x11,10,11,17603805664098900000,0.001566773,0.978447691,0.0014928181,0.0014886254,Above parent,0
10x11,10,11,14658953953116300000,0.001528206,0.9543626412,0.0016298646,0.0012229295,Mid-parent,11
10x11,10,11,8041965827341600000,0.0015666446,0.9783674616,0.0014886254,0.0016298646,Mid-parent,23
10x11,10,11,1456968910160050000,0.0015667212,0.9784153362,0.0014885172,0.0014886129,Above parent,1
10x11,10,11,13428695186528000000,0.0015282113,0.9543659297,0.0016302498,0.0012229594,Mid-parent,11
10x11,10,11,11052922494263600000,0.001528837,0.95475667,0.0014927787,0.0015144695,Above parent,29
10x11,10,11,9825508436453560000,0.0015284237,0.9544985682,0.0012229156,0.0012229115,Above parent,0
10x11,10,11,4711835638882960000,0.0015287153,0.9546806975,0.0012229636,0.001222948,Above parent,0
10x11,10,11,16491626012949700000,0.0015623576,0.9756902446,0.0014927504,0.001488555,Above parent,0
