type,count,sum_of_average_pa_and_pb,sum_of_average_heterosis
10x11,300,0.002194197485470593,0.9653101530927318
10x13,300,0.0022684372075455965,0.9965511634813629
10x14,300,0.0020727383844418093,0.9820329590973661
10x15,300,0.002223130167534745,0.9754022436364552
10x16,300,0.0020812886391589633,0.963126675240775
10x17,300,0.0024269790225870218,1.0106064367946659
10x19,300,0.0023701721229731744,1.027476038698636
10x35,300,0.0020081984726212716,0.9476505786642425
10x20,300,0.0022609640764328113,0.9720731768631711
10x21,300,0.002310369376858198,1.020317345127734
10x22,300,0.0021072338839255743,0.932971017336312
10x23,300,0.0018618636861968722,0.9774217166214731
10x24,300,0.002300190761503645,1.0183442411982087
10x25,300,0.0019280451050899922,0.9180188909289242
10x26,300,0.00236132634905745,1.0350388834367106
10x28,300,0.0019242957780136606,0.9378380710981806
10x29,300,0.002381666436581989,1.038578525806842
10x2,300,0.002009494936977717,0.9859851801383055
10x30,300,0.002430514600965664,1.0227281362628737
10x31,300,0.0021474426653066052,0.9346684986835421
10x32,300,0.0019185868818359423,0.9204891495482964
10x33,300,0.0023336975494679317,1.0079296079482774
10x34,300,0.0024467905899502674,1.0001322145284548
10x1,300,0.0019769975951034868,0.9010733042247879
10x36,300,0.001893889123223734,0.9337291763791236
10x37,300,0.002062079663970407,1.0334527048073268
10x38,300,0.001969758810815878,0.958914346046754
10x39,300,0.001858629533893494,0.9332002865334893
10x3,300,0.002555396174560347,0.9791556959524315
10x40,300,0.0019743515595387457,0.9836677652405528
10x4,300,0.0017881161404038526,0.9803096861843414
10x5,300,0.0020309977061911135,0.9558930744029933
10x6,300,0.0021098292949008664,0.9473023825787258
10x7,300,0.001955215134967439,0.9572926890112243
10x8,300,0.002269586746966162,1.0042423956192446
10x9,300,0.0018004425810348188,0.9334188401595672
11x13,300,0.0021858991977522003,1.0381524781999436
11x14,300,0.0019957363314053356,1.0543324564726924
11x15,300,0.0021441720138292075,1.044742271797829
11x16,300,0.002001375075457336,1.045519840902099
11x17,300,0.0023551800493621013,0.9545590617375906
11x19,300,0.0022918412649578384,0.978248567320972
11x1,300,0.0018980843838048516,0.9391852155101058
11x20,300,0.0021785206678003625,1.0145628199855208
11x21,300,0.002255405566252318,0.9918919751888233
11x22,300,0.002035816481255795,1.0316265157190976
11x24,300,0.0022197761621328056,1.0341958366349289
11x25,300,0.0018901351660869454,0.9827117855200722
11x26,300,0.0022916577148432643,0.963621135601922
11x28,300,0.0018416546546026573,0.9476536310572711
11x29,300,0.0023050504076470336,0.9893347610822077
11x30,300,0.00235680236690027,0.9517793355677315
11x31,300,0.002059921257437009,1.0561072641471103
11x33,300,0.0022607033480068774,0.9944025607597269
11x34,300,0.0023890096219708504,0.9555716500263448
11x35,300,0.0019320175134065732,1.029843946265915
11x36,300,0.0018289021617136317,0.9672359956628755
11x37,300,0.001970443369994888,1.1042469728573219
11x38,300,0.001903589390596443,1.052258085212347
11x39,300,0.0017857118238854364,1.0089573731627508
11x3,300,0.002491410570452879,0.9230201929622367
11x40,300,0.0018977374396212739,1.0277877569033884
1x14,300,0.0018891020535038983,1.0861153882929935
11x4,300,0.001684083834347504,0.9981638182800803
11x5,300,0.0019497990920241447,1.0308930434946335
11x6,300,0.0020352990704497493,1.0224223900362095
11x7,300,0.0018603048784846218,1.025551844427157
11x8,300,0.0022007038206392987,1.0271547925617677
1x19,300,0.002218983249643087,0.9174848182778301
11x9,300,0.0016955551421315137,0.9654167384565316
12x10,300,0.0023587838318961498,0.9901124679035243
12x11,300,0.0021603725091018074,1.0028538922084953
12x13,300,0.002232092995169733,1.0278272133538495
12x14,300,0.0020191009860833437,1.0007848832967625
12x15,300,0.0021800940226281186,1.006719982272872
12x16,300,0.0020448517440148804,0.9945588462476272
12x17,300,0.0023937155015127257,0.9750162746024642
12x18,300,0.0018236369132848174,0.9008841004321494
12x19,300,0.002337913897250028,1.0056041102787951
12x1,300,0.0019138849936681812,0.9329894603881511
12x20,300,0.0022192494605734305,0.9972400157277813
12x21,300,0.002274109681532979,1.0499538634070789
12x22,300,0.0020707021493260275,0.9857006914971089
12x23,300,0.001814892335885675,0.8753225943840033
12x24,300,0.0022561291323789103,1.04730783130917
12x25,300,0.0019216569183647335,1.0072905999142456
12x26,300,0.002331365922753461,1.0157524403412788
12x27,300,0.0022201289880914347,1.0086212627225686
12x28,300,0.0018560488048561315,0.890891919625928
12x29,300,0.002350271215448712,0.9799168647075712
12x2,300,0.0019292554996966176,0.9040901952621028
12x30,300,0.0023992366862627713,1.0059708224182662
12x31,300,0.00210357930399593,1.0351923416418334
12x32,300,0.0018462596972283645,0.9707226379439057
12x33,300,0.00230477946219657,1.0147266969029982
12x34,300,0.0024172913413631793,0.9611863628996845
12x35,300,0.001945233053189043,0.9830355224057195
12x36,300,0.0018325554854445954,0.9732437560578485
12x37,300,0.002009691380923587,1.0578332972749955
12x38,300,0.0019155529531371023,0.9930105692592152
12x39,300,0.0018092408721399323,0.9634197402371133
12x3,300,0.002529186818147837,0.9430075098219025
12x40,300,0.0019285253044497444,0.9930722070404806
12x4,300,0.0017317850613717978,0.926056707303688
12x5,300,0.001983739977279693,0.9764227886359618
1x26,300,0.002216251280037421,0.8894136191784291
12x6,300,0.0020692904125790687,0.9772463972029325
12x7,300,0.0018941225124185076,0.9806496454332463
12x8,300,0.0022309534148755687,1.0215751197101255
12x9,300,0.0017316331845940113,0.9478543474402208
13x14,300,0.0019919995494393516,1.041783046277147
13x19,300,0.002321956648618962,1.0178244838084602
1x31,300,0.001973328032962689,1.02363133243234
13x1,300,0.0019027058926152996,0.9463347611993875
13x26,300,0.0023103090901584957,1.01802079542998
13x31,300,0.0020877249116731714,1.0656115007243243
13x33,300,0.0022856064924912643,1.0304302557871878
13x37,300,0.0019932392180457294,1.0545294120711275
13x38,300,0.0019091869624019478,0.9884802592918014
13x39,300,0.0017937319197515514,0.996831290325229
1x33,300,0.002181182508024349,0.9194263654189636
13x40,300,0.0019061853179080134,1.0421935591659706
13x4,300,0.0017099490493651015,0.9877473025155975
13x5,300,0.0019722077813910254,1.0142976192630486
1x37,300,0.0018738279651809302,1.1426116387960512
13x9,300,0.0017238046990852107,0.9921644681959674
14x26,300,0.0022397119212925884,1.0058298997998136
14x31,300,0.0020161600986985076,1.088531522100467
14x33,300,0.0022273509423357887,0.9925246835143059
15x13,300,0.0022010826882305767,1.0344889916996
15x14,300,0.0019836261373214355,1.047977915853297
15x19,300,0.0023075561999903863,0.9980454761900817
15x1,300,0.0018880216711002022,0.9696511909476466
15x26,300,0.002289829049370515,0.9826002419296646
15x31,300,0.0020571499826450208,1.062187484121109
15x33,300,0.0022753434554278703,1.0016827025537038
15x37,300,0.0019476486298344985,1.0025861966266862
15x38,300,0.0018781796897765443,1.057364438431041
15x39,300,0.0017686310945899172,0.9378515899244826
15x40,300,0.0018793774767359654,1.0238611073191826
15x4,300,0.0016991092640134384,1.0444364339584715
15x5,300,0.0019407607343114564,1.0222198085254248
15x9,300,0.001703806171074204,0.9919757191166146
16x13,300,0.0021594309600876348,1.0060451592101025
16x14,300,0.0019286732551884386,1.1403576958085193
16x15,300,0.0021086521268080037,1.0266493915129764
16x17,300,0.0023297968536015287,0.9548442329794523
16x19,300,0.002256749871990163,0.9737554000774634
16x1,300,0.001859289069192771,1.0403841318875882
16x20,300,0.0021468719241938303,1.0047419464574991
16x21,300,0.0022098384897714235,1.0129962236041414
16x22,300,0.0019914228993684747,1.0904312199517916
16x24,300,0.002188193098335579,1.0263332627048818
16x25,300,0.0018476895814902472,1.06958843739966
16x26,300,0.002258799179125931,0.9782818847455879
16x28,300,0.0017947371422559492,1.0891487180106858
16x29,300,0.002269269419837498,0.9542856162825681
16x30,300,0.002340152849036478,0.9928424840954305
16x31,300,0.0020408158329797057,1.0752802503654382
16x33,300,0.0022274163073227075,0.9635547703432162
16x34,300,0.002342123032045739,0.9515659095158707
16x35,300,0.0018858040898219444,1.081227535880779
16x36,300,0.001759431697826934,1.0659359672202735
16x37,300,0.00192879774045534,1.1431724043307947
16x38,300,0.0018620817456653158,1.1296565771425549
16x39,300,0.001756229672662118,1.0974070845328283
16x3,300,0.0024721770572379074,0.8973414452027475
16x40,300,0.0018435671096087354,1.1265824609913901
16x4,300,0.001670585410484724,1.0475785570477025
16x5,300,0.0019109898507904304,1.0904267734273554
16x6,300,0.0019927059662105534,1.0848062937912126
16x7,300,0.0018264652734180313,1.1197157474156676
16x9,300,0.0016518100739777353,1.080785453165092
17x13,300,0.0022743153134295703,0.9818032900162788
17x14,300,0.002073764289770917,0.964730454180625
17x15,300,0.0022159515916900484,0.9616168444986916
17x19,300,0.002381545666913874,1.0107257680994777
17x1,300,0.0019535828582663488,0.884704978463307
17x20,300,0.0022571633772150907,0.9550547331869562
17x21,300,0.0023132804162421076,1.0026787645270796
17x22,300,0.002118130109671875,0.9493668885304413
